"Дата";"Регион";"Смертей за день"
12.08.2021;Ставропольский край;12
07.01.2022;Челябинская обл.;28
28.11.2021;Забайкальский край;7
17.11.2021;Тюменская обл.;11
13.09.2021;Волгоградская обл.;16
16.09.2021;Волгоградская обл.;16
18.11.2021;Орловская обл.;5
15.10.2021;Удмуртия;10
28.10.2021;Новосибирская обл.;15
23.01.2022;Дагестан;3
03.01.2021;Карелия;2
09.11.2020;Архангельская обл.;0
02.08.2021;Оренбургская обл.;8
13.02.2021;Ростовская обл.;23
24.11.2021;Коми;26
29.11.2021;Оренбургская обл.;13
09.02.2022;Камчатский край;0
01.09.2021;Оренбургская обл.;13
22.09.2021;Оренбургская обл.;12
13.08.2021;Ставропольский край;12
05.12.2020;Хабаровский край;2
23.11.2021;Орловская обл.;7
05.09.2021;Оренбургская обл.;13
27.12.2021;Ленинградская обл.;5
19.12.2021;Саратовская обл.;8
06.11.2021;Приморский край;3
21.12.2020;Хабаровский край;3
16.11.2020;Свердловская обл.;10
31.12.2020;Хабаровский край;1
28.02.2022;Камчатский край;3
02.01.2021;Архангельская обл.;0
04.02.2021;Свердловская обл.;14
18.12.2020;Хабаровский край;2
11.03.2022;Бурятия;3
29.10.2021;Курская обл.;6
24.10.2021;Пензенская обл.;29
25.09.2021;Волгоградская обл.;16
21.11.2021;Курская обл.;8
25.12.2021;Ставропольский край;20
10.11.2020;Архангельская обл.;0
17.12.2020;Карелия;1
10.12.2021;Архангельская обл.;2
18.11.2021;Севастополь;9
22.10.2021;Хабаровский край;5
14.09.2021;Волгоградская обл.;15
13.03.2022;Брянская обл.;10
04.11.2021;Орловская обл.;6
02.03.2022;Астраханская обл.;6
30.03.2022;Самарская обл.;14
19.08.2021;Волгоградская обл.;14
03.11.2021;Тюменская обл.;11
19.02.2021;Воронежская обл.;11
24.01.2022;Вологодская обл.;8
20.09.2021;Оренбургская обл.;12
22.03.2022;Приморский край;3
27.10.2021;Белгородская обл.;6
22.11.2021;Курская обл.;5
27.12.2021;Кемеровская обл.;4
16.03.2022;Орловская обл.;4
03.09.2021;Оренбургская обл.;14
01.12.2021;Белгородская обл.;10
06.09.2021;Оренбургская обл.;12
10.09.2021;Оренбургская обл.;14
04.12.2021;Белгородская обл.;8
08.07.2021;Иркутская обл.;32
30.10.2021;Белгородская обл.;6
20.12.2020;Хабаровский край;0
05.10.2021;Ульяновская обл.;15
28.12.2020;Хабаровский край;0
20.01.2022;Ленинградская обл.;4
02.11.2021;Тюменская обл.;11
11.08.2021;Ставропольский край;10
22.10.2021;Пензенская обл.;23
25.11.2021;Удмуртия;11
16.12.2020;Карелия;3
07.11.2021;Белгородская обл.;5
12.12.2020;Хабаровский край;2
22.09.2021;Волгоградская обл.;16
07.06.2020;Санкт-Петербург;31
19.07.2021;Ростовская обл.;5
12.11.2020;Архангельская обл.;5
02.12.2020;Вологодская обл.;14
05.07.2021;Забайкальский край;9
09.12.2020;Красноярский край;15
29.03.2022;Саха (Якутия);0
17.09.2021;Волгоградская обл.;16
12.12.2021;Архангельская обл.;12
11.12.2021;Архангельская обл.;10
01.01.2021;Крым;8
20.11.2021;Орловская обл.;8
22.01.2022;Орловская обл.;1
31.10.2021;Новосибирская обл.;14
11.11.2021;Кемеровская обл.;3
01.11.2021;Тюменская обл.;25
29.11.2021;Забайкальский край;10
30.11.2021;Оренбургская обл.;12
25.03.2022;Хабаровский край;2
26.10.2021;Вологодская обл.;11
11.03.2022;Ивановская обл.;8
23.10.2021;Вологодская обл.;11
22.03.2021;Нижегородская обл.;14
02.09.2021;Оренбургская обл.;12
23.01.2022;Башкортостан;11
22.12.2021;Саратовская обл.;13
08.09.2021;Оренбургская обл.;11
10.12.2020;Хабаровский край;2
19.11.2021;Орловская обл.;3
01.01.2022;Хабаровский край;4
22.12.2020;Хабаровский край;0
10.03.2022;Удмуртия;11
05.10.2020;Московская обл.;5
31.10.2021;Тюменская обл.;11
31.12.2021;Ленинградская обл.;5
12.05.2020;Санкт-Петербург;2
16.07.2021;Омская обл.;8
23.09.2021;Волгоградская обл.;17
29.10.2021;Забайкальский край;7
20.11.2020;Архангельская обл.;1
18.11.2020;Архангельская обл.;0
15.11.2021;Карелия;5
15.10.2021;Архангельская обл.;7
18.09.2021;Волгоградская обл.;16
14.02.2021;Ростовская обл.;3
13.11.2020;Архангельская обл.;1
09.12.2021;Архангельская обл.;11
21.05.2022;Санкт-Петербург;11
12.03.2022;Бурятия;6
13.12.2021;Липецкая обл.;11
06.03.2022;Адыгея;4
17.01.2022;Самарская обл.;14
18.01.2022;Алтайский край;25
11.11.2021;Краснодарский край;49
16.12.2021;Тверская обл.;13
19.09.2021;Оренбургская обл.;13
18.09.2021;Оренбургская обл.;11
03.12.2020;Хабаровский край;2
23.09.2021;Оренбургская обл.;14
26.03.2022;Пензенская обл.;10
30.11.2021;Белгородская обл.;8
01.04.2022;Саха (Якутия);1
07.09.2021;Оренбургская обл.;14
11.09.2021;Оренбургская обл.;12
01.01.2021;Хабаровский край;1
31.03.2022;Самарская обл.;14
27.12.2020;Хабаровский край;0
13.03.2022;Бурятия;3
02.01.2022;Ленинградская обл.;5
25.12.2020;Крым;8
31.07.2021;Челябинская обл.;17
25.10.2021;Пензенская обл.;28
13.12.2020;Хабаровский край;2
20.09.2021;Волгоградская обл.;15
11.11.2020;Архангельская обл.;4
21.03.2022;Омская обл.;9
20.11.2021;Севастополь;10
26.09.2021;Крым;8
22.10.2021;Липецкая обл.;10
19.10.2021;Тверская обл.;8
18.08.2021;Волгоградская обл.;16
08.08.2021;Ставропольский край;11
09.12.2021;Крым;25
07.08.2021;Ставропольский край;11
28.12.2021;Кемеровская обл.;5
27.11.2020;Хабаровский край;1
02.01.2022;Ростовская обл.;18
21.05.2022;Москва;15
07.12.2020;Хабаровский край;2
17.09.2021;Оренбургская обл.;13
21.11.2021;Севастополь;12
14.09.2021;Оренбургская обл.;12
09.09.2021;Оренбургская обл.;13
19.11.2021;Севастополь;12
05.12.2021;Белгородская обл.;10
02.01.2021;Хабаровский край;0
16.11.2021;Карелия;6
04.10.2021;Ульяновская обл.;24
29.12.2020;Хабаровский край;2
02.12.2020;Ростовская обл.;26
15.03.2022;Белгородская обл.;3
03.12.2020;Ростовская обл.;26
28.01.2022;Тамбовская обл.;6
22.01.2022;Саратовская обл.;9
18.11.2021;Новгородская обл.;0
15.12.2020;Хабаровский край;3
24.09.2021;Волгоградская обл.;16
15.12.2021;Вологодская обл.;12
25.10.2021;Ленинградская обл.;4
27.03.2022;Оренбургская обл.;3
23.11.2021;Курская обл.;7
10.03.2022;Тюменская обл.;13
13.05.2022;Санкт-Петербург;12
19.09.2021;Волгоградская обл.;15
22.10.2021;Калининградская обл.;5
15.02.2021;Ростовская обл.;8
08.07.2021;Забайкальский край;5
11.12.2020;Красноярский край;16
08.12.2020;Красноярский край;25
29.10.2021;Новосибирская обл.;15
27.07.2021;Самарская обл.;14
01.04.2022;Самарская обл.;13
30.10.2021;Тюменская обл.;18
13.02.2022;Камчатский край;0
01.08.2021;Оренбургская обл.;7
27.10.2021;Севастополь;16
20.02.2021;Воронежская обл.;8
05.07.2021;Крым;8
14.08.2021;Волгоградская обл.;14
24.11.2020;Красноярский край;24
14.12.2021;Вологодская обл.;12
22.11.2020;Красноярский край;20
06.10.2021;Саратовская обл.;35
20.11.2020;Красноярский край;12
07.12.2021;Белгородская обл.;8
30.04.2020;Санкт-Петербург;0
15.07.2021;Омская обл.;3
04.12.2020;Хабаровский край;2
13.11.2021;Карелия;0
16.09.2021;Оренбургская обл.;11
02.12.2021;Белгородская обл.;11
12.09.2021;Оренбургская обл.;11
29.10.2021;Тюменская обл.;14
29.06.2021;Нижегородская обл.;27
26.01.2022;Хабаровский край;3
26.01.2022;Липецкая обл.;9
27.11.2020;Красноярский край;24
14.03.2022;Бурятия;4
20.01.2022;Приморский край;7
21.09.2021;Волгоградская обл.;17
01.12.2020;Красноярский край;22
26.11.2021;Калининградская обл.;9
24.11.2021;Орловская обл.;8
10.12.2020;Красноярский край;19
21.10.2021;Хабаровский край;4
09.08.2021;Ставропольский край;9
03.03.2022;Калужская обл.;2
11.07.2021;Хабаровский край;5
25.07.2021;Самарская обл.;10
06.12.2021;Ульяновская обл.;11
10.11.2021;Кемеровская обл.;4
13.12.2020;Красноярский край;21
12.12.2020;Красноярский край;20
15.12.2021;Липецкая обл.;12
01.12.2021;Оренбургская обл.;10
24.10.2021;Вологодская обл.;4
25.11.2021;Коми;12
07.07.2021;Крым;7
23.11.2020;Красноярский край;17
18.11.2020;Красноярский край;18
29.06.2020;Московская обл.;11
23.03.2021;Нижегородская обл.;12
23.12.2021;Саратовская обл.;11
06.12.2020;Хабаровский край;2
20.01.2022;Карелия;4
18.11.2021;Тюменская обл.;10
23.12.2020;Пермский край;20
13.09.2021;Оренбургская обл.;13
09.12.2020;Хабаровский край;2
26.07.2021;Самарская обл.;10
03.11.2021;Орловская обл.;4
04.01.2021;Хабаровский край;0
30.12.2020;Хабаровский край;0
10.08.2021;Ставропольский край;11
09.11.2021;Белгородская обл.;5
21.10.2021;Пензенская обл.;29
20.11.2021;Новгородская обл.;0
15.05.2022;Москва;14
30.07.2021;Челябинская обл.;16
29.11.2020;Красноярский край;25
08.04.2022;Саратовская обл.;4
28.03.2022;Оренбургская обл.;3
25.03.2022;Оренбургская обл.;4
09.12.2020;Псковская обл.;0
02.12.2020;Красноярский край;20
04.07.2021;Забайкальский край;5
10.07.2021;Хабаровский край;3
03.04.2022;Самарская обл.;12
17.08.2021;Волгоградская обл.;15
15.07.2021;Хабаровский край;5
30.11.2021;Забайкальский край;9
15.12.2020;Красноярский край;23
17.12.2020;Красноярский край;19
13.08.2021;Волгоградская обл.;15
15.10.2021;Алтайский край;29
25.10.2021;Вологодская обл.;12
13.03.2022;Коми;4
21.11.2020;Красноярский край;15
18.03.2022;Владимирская обл.;4
30.12.2021;Ленинградская обл.;4
15.09.2021;Оренбургская обл.;12
06.08.2021;Ставропольский край;10
06.12.2021;Белгородская обл.;9
08.12.2020;Хабаровский край;0
06.07.2021;Пермский край;7
04.07.2021;Бурятия;23
02.04.2022;Самарская обл.;13
27.06.2021;Нижегородская обл.;24
30.11.2020;Ростовская обл.;15
03.02.2021;Свердловская обл.;16
29.11.2021;Смоленская обл.;6
26.01.2022;Чувашия;1
17.12.2021;Тверская обл.;13
03.10.2021;Ульяновская обл.;14
14.12.2020;Хабаровский край;3
26.11.2020;Красноярский край;25
16.12.2021;Вологодская обл.;9
06.04.2022;Саратовская обл.;2
28.10.2021;Забайкальский край;9
26.03.2022;Оренбургская обл.;5
07.07.2021;Иркутская обл.;31
19.11.2020;Архангельская обл.;2
14.10.2021;Архангельская обл.;3
30.11.2020;Красноярский край;23
14.07.2021;Омская обл.;6
18.07.2021;Ростовская обл.;4
22.11.2021;Севастополь;9
19.11.2021;Тюменская обл.;13
10.07.2021;Забайкальский край;5
16.05.2022;Санкт-Петербург;10
07.04.2022;Ульяновская обл.;3
02.07.2021;Воронежская обл.;6
31.10.2020;Архангельская обл.;0
03.02.2022;Ивановская обл.;3
01.11.2021;Новосибирская обл.;15
02.05.2022;Москва;17
14.12.2020;Красноярский край;16
21.07.2021;Хабаровский край;5
12.08.2021;Волгоградская обл.;16
06.07.2021;Крым;8
18.12.2020;Красноярский край;15
15.08.2021;Волгоградская обл.;14
28.10.2021;Курская обл.;5
23.03.2022;Крым;7
02.12.2020;Хабаровский край;2
25.11.2020;Красноярский край;21
26.11.2021;Курская обл.;7
19.11.2020;Красноярский край;15
26.01.2022;Ярославская обл.;5
20.11.2021;Тюменская обл.;9
27.12.2020;Пермский край;13
03.12.2021;Белгородская обл.;9
25.10.2021;Карелия;4
07.03.2022;Сахалинская обл.;2
03.01.2021;Хабаровский край;0
15.11.2020;Свердловская обл.;7
31.12.2020;Крым;9
22.02.2022;Омская обл.;11
01.12.2021;Смоленская обл.;9
22.09.2021;Башкортостан;18
08.11.2021;Белгородская обл.;3
28.11.2020;Красноярский край;21
26.03.2022;Ярославская обл.;2
03.12.2020;Красноярский край;30
12.07.2021;Омская обл.;4
20.12.2020;Пермский край;19
24.03.2022;Калининградская обл.;0
12.12.2020;Крым;5
28.10.2021;Тюменская обл.;16
16.12.2020;Красноярский край;21
16.07.2021;Хабаровский край;4
23.11.2020;Карелия;0
14.11.2021;Карелия;5
29.12.2021;Кемеровская обл.;5
24.11.2021;Курская обл.;7
22.10.2021;Вологодская обл.;10
08.12.2021;Белгородская обл.;7
13.07.2021;Омская обл.;5
16.10.2021;Брянская обл.;12
04.03.2022;Севастополь;5
25.12.2020;Пермский край;16
14.12.2021;Липецкая обл.;13
01.03.2022;Хакасия;0
18.10.2021;Тверская обл.;2
22.11.2021;Новгородская обл.;5
01.12.2020;Ростовская обл.;25
28.06.2021;Нижегородская обл.;22
30.11.2021;Смоленская обл.;8
21.10.2020;Нижегородская обл.;8
23.03.2022;Красноярский край;11
17.12.2021;Вологодская обл.;13
29.12.2020;Пермский край;11
23.01.2022;Владимирская обл.;4
21.11.2020;Архангельская обл.;0
13.10.2021;Архангельская обл.;10
17.03.2022;ХМАО – Югра;6
16.02.2021;Ростовская обл.;11
10.07.2021;Брянская обл.;10
17.07.2021;Ростовская обл.;22
29.12.2020;Крым;9
09.07.2021;Забайкальский край;6
31.03.2022;Саха (Якутия);0
22.12.2020;Пермский край;19
21.11.2021;Тюменская обл.;15
04.12.2020;Красноярский край;21
17.04.2022;Воронежская обл.;5
07.12.2020;Красноярский край;16
31.07.2021;Оренбургская обл.;9
23.07.2021;Хабаровский край;7
22.07.2021;Хабаровский край;5
17.12.2021;Липецкая обл.;14
19.12.2020;Красноярский край;15
16.08.2021;Волгоградская обл.;15
18.12.2021;Тверская обл.;12
26.11.2021;Коми;7
15.04.2022;Башкортостан;3
04.07.2021;Крым;9
26.10.2021;Белгородская обл.;5
28.11.2020;Хабаровский край;0
25.03.2021;Нижегородская обл.;11
14.10.2021;Удмуртия;14
05.02.2022;Карачаево-Черкессия;2
26.08.2021;Крым;16
27.01.2022;Севастополь;4
05.02.2021;Свердловская обл.;15
19.11.2021;Новгородская обл.;0
29.07.2021;Челябинская обл.;14
27.10.2021;Тюменская обл.;16
04.01.2022;Алтайский край;26
31.12.2020;Пермский край;10
05.07.2021;Бурятия;24
26.01.2022;Брянская обл.;12
07.07.2021;Забайкальский край;7
30.12.2020;Крым;8
26.12.2020;Пермский край;14
18.12.2020;Пермский край;17
05.12.2020;Красноярский край;14
27.10.2021;Забайкальский край;9
23.12.2020;Красноярский край;21
14.07.2021;Хабаровский край;6
21.12.2020;Красноярский край;16
23.07.2021;Самарская обл.;15
11.08.2021;Волгоградская обл.;17
23.12.2021;Волгоградская обл.;23
28.12.2020;Пермский край;12
01.12.2020;Хабаровский край;1
24.10.2021;Белгородская обл.;5
05.03.2022;Адыгея;5
13.11.2021;Владимирская обл.;7
11.07.2021;Омская обл.;3
26.01.2022;Крым;11
13.11.2020;Красноярский край;17
11.07.2021;Брянская обл.;11
25.11.2021;Орловская обл.;6
21.12.2020;Пермский край;19
30.03.2022;Саха (Якутия);2
22.11.2021;Тюменская обл.;26
12.12.2020;Псковская обл.;1
29.11.2020;Ростовская обл.;15
04.04.2022;Самарская обл.;14
23.11.2021;Новгородская обл.;4
07.08.2021;Волгоградская обл.;16
26.10.2021;Севастополь;14
03.01.2022;Ленинградская обл.;3
17.11.2021;Новгородская обл.;1
25.11.2021;Брянская обл.;16
02.10.2021;Ульяновская обл.;7
25.11.2021;Курская обл.;8
24.03.2022;Оренбургская обл.;6
23.03.2022;Оренбургская обл.;5
21.10.2021;Калининградская обл.;2
16.07.2021;Ростовская обл.;19
24.12.2020;Пермский край;18
17.10.2021;Тверская обл.;6
02.11.2021;Орловская обл.;6
05.08.2021;Ставропольский край;9
26.01.2022;Новгородская обл.;6
12.07.2021;Хабаровский край;5
22.12.2020;Красноярский край;21
20.12.2020;Красноярский край;14
14.04.2022;Ростовская обл.;5
17.07.2021;Хабаровский край;4
06.07.2021;Брянская обл.;6
12.02.2022;Камчатский край;0
05.06.2020;Нижегородская обл.;3
15.12.2021;Пензенская обл.;11
01.12.2020;Воронежская обл.;15
05.10.2021;Саратовская обл.;32
29.11.2020;Хабаровский край;0
24.12.2021;Саратовская обл.;9
12.11.2020;Красноярский край;16
19.12.2020;Пермский край;18
17.12.2020;Пермский край;18
25.03.2022;Калининградская обл.;3
17.11.2020;Красноярский край;20
27.08.2021;Крым;15
11.11.2021;Владимирская обл.;9
19.01.2022;Ленинградская обл.;7
03.07.2021;Бурятия;17
24.07.2021;Самарская обл.;13
21.11.2021;Новгородская обл.;0
09.11.2020;Красноярский край;9
28.07.2021;Челябинская обл.;15
19.12.2021;Тверская обл.;3
23.03.2022;Забайкальский край;3
27.11.2021;Курская обл.;6
11.07.2021;Забайкальский край;7
02.04.2022;Саха (Якутия);3
13.12.2021;Архангельская обл.;7
13.12.2020;Псковская обл.;2
06.12.2020;Красноярский край;13
04.01.2022;Приморский край;5
24.12.2020;Красноярский край;29
08.11.2021;Кемеровская обл.;3
05.04.2022;Самарская обл.;9
13.07.2021;Хабаровский край;5
28.01.2022;Белгородская обл.;5
21.02.2021;Воронежская обл.;0
10.08.2021;Волгоградская обл.;16
19.07.2021;Хабаровский край;4
02.12.2021;Оренбургская обл.;12
18.07.2021;Хабаровский край;6
04.07.2021;Брянская обл.;13
21.03.2022;Крым;6
25.10.2021;Белгородская обл.;4
24.03.2021;Нижегородская обл.;13
11.10.2021;Архангельская обл.;0
14.11.2021;Владимирская обл.;15
10.11.2020;Красноярский край;11
28.12.2021;Ленинградская обл.;3
27.03.2021;Нижегородская обл.;9
14.12.2020;Псковская обл.;2
15.11.2020;Красноярский край;12
14.11.2020;Красноярский край;13
23.01.2022;Карелия;5
21.04.2022;Московская обл.;7
06.08.2021;Волгоградская обл.;15
16.12.2021;Липецкая обл.;13
20.07.2021;Забайкальский край;8
12.07.2021;Брянская обл.;11
24.07.2021;Хабаровский край;5
20.10.2021;Хабаровский край;4
16.01.2021;Крым;9
25.12.2020;Красноярский край;20
22.03.2022;Новосибирская обл.;11
26.12.2020;Красноярский край;21
04.05.2022;Санкт-Петербург;12
25.10.2021;Севастополь;15
20.12.2021;Тверская обл.;0
17.11.2021;Владимирская обл.;6
29.01.2022;Чечня;1
01.01.2021;Пермский край;10
06.07.2021;Иркутская обл.;33
11.11.2020;Красноярский край;15
09.07.2021;Брянская обл.;10
16.11.2020;Красноярский край;13
13.04.2022;Нижегородская обл.;2
10.11.2021;Владимирская обл.;5
09.03.2022;Карелия;1
14.11.2020;Свердловская обл.;8
26.06.2021;Нижегородская обл.;26
20.10.2021;Пензенская обл.;28
05.07.2021;Брянская обл.;12
23.01.2022;Тверская обл.;2
18.12.2021;Вологодская обл.;17
24.10.2021;Ленинградская обл.;8
25.01.2022;Рязанская обл.;8
10.07.2021;Омская обл.;9
06.07.2021;Забайкальский край;5
09.04.2022;Краснодарский край;5
14.01.2021;Красноярский край;25
23.11.2021;Тюменская обл.;31
16.12.2020;Пермский край;19
28.12.2020;Красноярский край;13
30.03.2022;Крым;6
29.07.2021;Оренбургская обл.;8
30.07.2021;Оренбургская обл.;9
09.11.2021;Кемеровская обл.;4
01.12.2021;Забайкальский край;7
20.07.2021;Хабаровский край;5
09.08.2021;Волгоградская обл.;16
04.11.2021;Владимирская обл.;4
10.10.2021;Архангельская обл.;5
29.12.2021;Ленинградская обл.;7
26.03.2021;Нижегородская обл.;10
12.11.2021;Владимирская обл.;12
05.11.2021;Приморский край;4
22.01.2022;Удмуртия;1
01.11.2021;Орловская обл.;5
05.01.2021;Хабаровский край;0
08.08.2021;Волгоградская обл.;15
08.11.2020;Красноярский край;8
05.03.2022;Хакасия;5
03.07.2021;Брянская обл.;14
25.10.2021;Тюменская обл.;14
08.06.2020;Санкт-Петербург;15
22.03.2022;Тульская обл.;7
22.01.2021;Красноярский край;26
20.10.2021;Карелия;1
17.02.2021;Ростовская обл.;19
14.07.2021;Брянская обл.;7
25.05.2022;Санкт-Петербург;10
26.07.2021;Хабаровский край;5
20.01.2021;Красноярский край;25
17.05.2022;Санкт-Петербург;11
27.12.2020;Красноярский край;18
20.10.2021;Липецкая обл.;15
19.02.2022;Марий Эл;1
07.11.2021;Кемеровская обл.;4
26.03.2022;Калининградская обл.;0
01.01.2021;Вологодская обл.;13
26.10.2021;Тюменская обл.;13
07.12.2021;Ульяновская обл.;12
30.12.2020;Пермский край;11
30.11.2020;Воронежская обл.;13
30.12.2021;Кемеровская обл.;4
28.11.2021;Курская обл.;8
04.10.2021;Саратовская обл.;39
27.11.2020;Воронежская обл.;13
28.06.2020;Московская обл.;6
23.10.2021;Белгородская обл.;6
10.12.2021;Белгородская обл.;7
15.11.2021;Владимирская обл.;2
13.07.2021;Брянская обл.;6
24.11.2021;Тюменская обл.;23
15.01.2021;Крым;7
17.01.2022;Алтайский край;23
21.10.2021;Липецкая обл.;11
04.08.2021;Ставропольский край;8
12.11.2021;Карелия;2
24.11.2021;Новгородская обл.;2
27.10.2021;Курская обл.;5
05.08.2021;Волгоградская обл.;17
02.02.2021;Свердловская обл.;15
16.11.2021;Новгородская обл.;0
17.03.2022;Удмуртия;5
07.07.2021;Брянская обл.;7
28.01.2022;Хакасия;0
12.10.2021;Архангельская обл.;0
02.07.2021;Бурятия;20
23.01.2021;Красноярский край;25
15.01.2021;Красноярский край;15
25.07.2021;Хабаровский край;5
30.12.2021;Омская обл.;9
30.01.2022;Мордовия;5
26.10.2021;Забайкальский край;7
29.12.2020;Красноярский край;14
16.01.2022;Алтайский край;26
15.03.2022;Брянская обл.;9
30.10.2020;Архангельская обл.;0
29.03.2022;Алтайский край;8
04.03.2022;Мордовия;3
28.10.2021;Коми;6
04.12.2021;Забайкальский край;10
16.12.2021;Пензенская обл.;17
18.11.2021;Владимирская обл.;5
30.11.2020;Хабаровский край;0
29.11.2020;Воронежская обл.;14
31.10.2021;Владимирская обл.;8
21.10.2021;Вологодская обл.;10
15.07.2021;Брянская обл.;8
07.11.2021;Владимирская обл.;11
03.04.2022;Саха (Якутия);0
26.11.2021;Тюменская обл.;24
29.03.2022;Волгоградская обл.;4
26.12.2021;Ставропольский край;22
14.03.2022;Брянская обл.;9
15.12.2020;Карелия;2
27.07.2021;Челябинская обл.;16
26.01.2021;Красноярский край;26
10.03.2022;Карелия;2
21.01.2021;Красноярский край;29
25.11.2021;Тюменская обл.;31
21.03.2022;Амурская обл.;0
22.01.2022;Кировская обл.;2
05.02.2022;Ингушетия;0
28.07.2021;Оренбургская обл.;9
16.03.2022;Тамбовская обл.;7
24.01.2022;Крым;8
02.12.2021;Забайкальский край;7
17.03.2022;Кемеровская обл.;3
30.06.2021;Брянская обл.;11
24.12.2021;Волгоградская обл.;20
27.11.2021;Коми;10
22.01.2022;Тверская обл.;2
24.03.2022;Томская обл.;2
04.01.2021;Карелия;0
03.11.2021;Владимирская обл.;5
31.12.2021;Омская обл.;14
26.11.2020;Воронежская обл.;12
09.12.2021;Белгородская обл.;6
24.01.2022;Ульяновская обл.;5
09.07.2021;Омская обл.;0
09.11.2021;Владимирская обл.;6
06.02.2021;Свердловская обл.;13
24.01.2022;Кемеровская обл.;8
27.10.2021;Коми;4
24.06.2020;ХМАО – Югра;1
02.05.2020;Санкт-Петербург;0
27.03.2022;Вологодская обл.;7
14.04.2022;Челябинская обл.;7
16.01.2022;Иркутская обл.;16
14.10.2021;Алтайский край;26
04.08.2021;Волгоградская обл.;16
21.12.2021;Тверская обл.;11
02.01.2021;Пермский край;11
22.01.2022;Владимирская обл.;6
24.11.2020;Карелия;2
19.07.2021;Забайкальский край;5
24.01.2021;Красноярский край;25
08.07.2021;Брянская обл.;7
26.11.2021;Орловская обл.;8
16.01.2021;Красноярский край;25
28.07.2021;Хабаровский край;6
18.02.2021;Ростовская обл.;21
03.07.2021;Забайкальский край;5
09.07.2021;Хабаровский край;1
02.01.2021;Красноярский край;15
10.11.2021;Краснодарский край;48
07.04.2022;Самарская обл.;11
24.10.2021;Тюменская обл.;14
25.09.2021;Крым;14
01.11.2021;Владимирская обл.;14
01.02.2022;Марий Эл;0
16.11.2021;Владимирская обл.;4
11.03.2022;Московская обл.;37
05.11.2021;Владимирская обл.;3
21.11.2021;Владимирская обл.;21
05.07.2021;Свердловская обл.;11
23.11.2021;Севастополь;12
19.10.2021;Пензенская обл.;27
16.10.2021;Тверская обл.;8
31.07.2021;Волгоградская обл.;14
05.07.2021;Красноярский край;9
07.11.2020;Красноярский край;9
01.01.2022;Новосибирская обл.;13
12.03.2022;Амурская обл.;1
14.10.2021;Смоленская обл.;8
01.10.2021;Ульяновская обл.;8
27.03.2022;Ярославская обл.;4
15.07.2021;Ростовская обл.;21
20.01.2022;Волгоградская обл.;14
13.03.2022;Кировская обл.;2
15.10.2021;Брянская обл.;13
01.12.2020;Вологодская обл.;10
13.01.2021;Красноярский край;13
19.01.2021;Красноярский край;25
12.07.2021;Забайкальский край;5
30.12.2020;Красноярский край;18
18.01.2022;Нижегородская обл.;22
22.12.2021;Тверская обл.;14
03.12.2021;Забайкальский край;9
17.12.2021;Пензенская обл.;14
12.12.2021;Белгородская обл.;7
02.11.2021;Владимирская обл.;11
11.08.2021;Хабаровский край;3
30.10.2021;Владимирская обл.;11
10.12.2021;Крым;24
25.12.2021;Саратовская обл.;8
08.11.2021;Владимирская обл.;4
30.06.2021;Бурятия;22
27.12.2021;Башкортостан;20
01.03.2022;Кабардино-Балкария;6
26.10.2021;Карелия;3
13.11.2020;Свердловская обл.;9
16.03.2022;Белгородская обл.;4
24.10.2021;Севастополь;12
26.07.2021;Челябинская обл.;12
18.12.2021;Липецкая обл.;12
23.10.2021;Тюменская обл.;12
02.08.2021;Волгоградская обл.;14
20.10.2021;Калининградская обл.;0
27.01.2021;Красноярский край;28
25.01.2021;Красноярский край;25
13.07.2021;Ростовская обл.;19
12.05.2022;Санкт-Петербург;11
23.10.2021;Ленинградская обл.;2
25.11.2020;Воронежская обл.;8
18.01.2021;Красноярский край;25
08.01.2022;Челябинская обл.;26
14.12.2021;Архангельская обл.;4
29.07.2021;Хабаровский край;4
04.11.2021;Карелия;4
31.12.2020;Красноярский край;21
03.02.2022;Кабардино-Балкария;3
06.11.2021;Кемеровская обл.;4
17.02.2022;Ингушетия;0
02.07.2021;Брянская обл.;13
06.06.2020;Нижегородская обл.;6
11.12.2021;Белгородская обл.;8
19.11.2021;Владимирская обл.;9
03.01.2021;Пермский край;10
10.08.2021;Хабаровский край;2
04.02.2022;Псковская обл.;6
06.11.2021;Владимирская обл.;11
23.11.2021;Владимирская обл.;8
02.05.2020;Нижегородская обл.;0
15.12.2020;Пермский край;18
03.10.2021;Саратовская обл.;37
28.11.2020;Ростовская обл.;23
11.03.2022;Мурманская обл.;5
16.03.2022;Брянская обл.;10
30.07.2021;Волгоградская обл.;13
25.01.2022;Хабаровский край;3
06.01.2021;Хабаровский край;0
15.11.2021;Новгородская обл.;3
13.10.2021;Удмуртия;13
01.07.2021;Брянская обл.;13
20.09.2021;Башкортостан;17
22.07.2021;Забайкальский край;7
12.07.2021;Ростовская обл.;20
12.06.2020;Свердловская обл.;0
23.01.2022;Тульская обл.;11
10.04.2022;Саратовская обл.;3
27.07.2021;Хабаровский край;5
10.11.2020;Карелия;2
17.01.2021;Красноярский край;20
31.07.2021;Хабаровский край;3
19.02.2021;Ростовская обл.;23
07.02.2022;Камчатский край;2
01.01.2021;Красноярский край;20
03.01.2021;Красноярский край;20
09.11.2021;Краснодарский край;47
03.01.2021;Вологодская обл.;5
06.01.2021;Красноярский край;15
22.10.2021;Тюменская обл.;17
29.10.2021;Владимирская обл.;6
27.05.2022;Москва;12
