"Дата";"Регион";"Смертей за день"
08.11.2020;Москва;74
09.02.2022;Красноярский край;12
09.02.2022;Нижегородская обл.;17
02.11.2021;Москва;98
05.05.2020;Москва;52
14.01.2022;Москва;69
19.10.2021;Москва;73
10.07.2021;Москва;108
09.05.2020;Москва;54
23.02.2022;Москва;83
23.12.2020;Москва;73
22.02.2022;Красноярский край;22
29.12.2020;Москва;75
07.07.2021;Москва;104
12.02.2022;Пермский край;24
13.02.2022;Пермский край;20
10.05.2020;Москва;58
14.02.2022;Пермский край;20
15.01.2021;Москва;81
10.02.2022;Свердловская обл.;11
12.02.2022;Воронежская обл.;10
06.07.2021;Москва;114
13.01.2022;Москва;71
19.02.2022;Новосибирская обл.;9
23.10.2020;Москва;62
23.02.2022;Красноярский край;17
13.02.2022;Воронежская обл.;11
02.01.2021;Москва;76
16.02.2022;Новосибирская обл.;10
14.02.2022;Воронежская обл.;6
15.12.2020;Москва;77
11.07.2021;Москва;110
28.02.2022;Санкт-Петербург;78
07.10.2021;Москва;69
12.07.2021;Москва;107
12.05.2020;Москва;55
16.07.2021;Москва;105
19.10.2020;Москва;51
02.05.2020;Москва;37
06.02.2022;Челябинская обл.;14
13.02.2022;Новосибирская обл.;15
18.02.2022;Новосибирская обл.;15
11.02.2022;Воронежская обл.;12
17.02.2022;Пермский край;19
10.02.2022;Пермский край;13
11.02.2022;Пермский край;21
21.02.2022;Красноярский край;16
09.11.2021;Москва;95
24.10.2021;Москва;84
30.10.2020;Москва;69
01.11.2020;Москва;52
18.02.2022;Пермский край;28
14.02.2022;Красноярский край;11
05.11.2020;Москва;67
08.02.2022;Нижегородская обл.;19
10.06.2021;Москва;63
08.02.2022;Свердловская обл.;14
15.07.2021;Москва;101
08.12.2020;Москва;71
26.10.2020;Москва;62
20.02.2022;Новосибирская обл.;13
16.02.2022;Пермский край;24
15.02.2022;Пермский край;21
19.02.2022;Пермский край;27
02.12.2020;Москва;75
19.02.2022;Московская обл.;27
12.11.2021;Москва;96
20.02.2022;Пермский край;25
18.02.2022;Московская обл.;26
16.02.2022;Челябинская обл.;18
03.11.2020;Москва;63
15.02.2022;Воронежская обл.;13
09.12.2020;Москва;75
06.01.2021;Москва;70
22.02.2022;Новосибирская обл.;16
12.02.2022;Новосибирская обл.;11
24.02.2022;Красноярский край;21
10.02.2022;Нижегородская обл.;21
15.02.2022;Челябинская обл.;14
14.02.2022;Челябинская обл.;16
30.12.2020;Москва;72
19.02.2022;Воронежская обл.;6
17.02.2022;Воронежская обл.;5
21.02.2022;Пермский край;21
20.02.2022;Воронежская обл.;12
21.02.2022;Воронежская обл.;13
16.10.2020;Москва;54
17.02.2022;Новосибирская обл.;13
16.12.2020;Москва;73
08.01.2021;Москва;71
18.02.2022;Свердловская обл.;8
17.02.2022;Свердловская обл.;7
08.02.2022;Красноярский край;14
09.02.2022;Пермский край;20
13.02.2022;Челябинская обл.;18
11.10.2021;Москва;71
12.01.2021;Москва;72
21.02.2022;Новосибирская обл.;10
20.10.2020;Москва;49
21.02.2022;Москва;83
16.02.2022;Свердловская обл.;9
12.02.2022;Челябинская обл.;17
15.02.2022;Нижегородская обл.;17
13.07.2021;Москва;103
16.02.2022;Краснодарский край;11
08.11.2021;Москва;97
07.11.2021;Москва;96
12.02.2022;Свердловская обл.;11
31.10.2020;Москва;55
29.10.2020;Москва;66
09.01.2021;Москва;74
07.02.2022;Челябинская обл.;12
13.02.2022;Свердловская обл.;9
06.02.2022;Воронежская обл.;5
16.02.2022;Нижегородская обл.;20
11.02.2022;Новосибирская обл.;6
07.01.2021;Москва;76
02.03.2022;Свердловская обл.;15
01.03.2022;Свердловская обл.;14
15.02.2022;Свердловская обл.;7
05.01.2021;Москва;75
